"Name"	"Strain"
"Phaseolibacter flectens"	"LMG 2186 "
"Asinibacterium lactis"	"LCJ02"
"Naasia aerilata"	"5116S-4"
"Rudaibacter terrae"	"5GHs34-4"
"Angustibacter aerolatus"	"7402J-48"
"Pontimonas salivibrio"	"CL-TW6"
"Paenibacillus typhae"	"xj7"
"Weissella diestrammenae"	"ORY33"
"Enterococcus diestrammenae"	"ORL-24"
"Gibbsiella papilionis"	"LEN33"
"Gallaecimonas xiamenensis"	"3-C-1"
"Paramoritella sediminis"	"MEBiC06500"
"Caldicoprobacter guelmensis"	"D2C22"
"Litorilinea aerophila"	"PRI-4131"
"Mariniflexile jejuense"	"SSK2-3"
"Mucilaginibacter sabulilitoris"	"SMS-12"
"Roseovarius sediminilitoris"	"M-M10"
"Snodgrassella alvi"	"wkB2"
"Streptomyces harbinensis"	"NEAU-Da3"
"Gillisia marina"	"CBA3202"
"Mucilaginibacter jinjuensis"	"YC7004"
"Micromonospora wenchangensis"	"2602GPT1-05"
"Rhodotorula portillonensis"	"Pi2"
"Acinetobacter nectaris"	"SAP 763.2"
"Acinetobacter boissieri"	"SAP 284.1"
"Oceanirhabdus sediminicola"	"NH-JN4"
"Parvularcula dongshanensis"	"SH25"
"Prevotella jejuni"	"CD3‰Û_:‰Û_28"
"Ferrimonas pelagia"	"CBA4601"
"Halomonas zincidurans"	"B6"
"Hazenella coriacea"	"23436"
"Lactobacillus delbrueckii"	"ZN7a-9"
"Pontibacter ramchanderi"	"LP43"
"Litorisediminicola beolgyonensis"	"BB-MW24"
"Arenitalea lutea"	"P7-3-5"
"Cloacibacillus porcorum"	"CL-84"
"Modestobacter roseus"	"KLBMP 1279"
"Streptomyces halophytocola"	"KLBMP 1284"
"Dyadobacter tibetensis"	"Y620-1"
"Thioclava dalianensis"	"DLFJ1-1"
"Kazachstania rupicola"	"UFMG-BRO-80"
"Pseudomonas guguanensis"	"CC-G9A"
"Aureimonas ferruginea"	"CC-CFT023"
"Aureimonas rubiginis"	"CC-CFT034"
"Methylobacterium tarhaniae"	"N4211"
"Mycobacterium fragae"	"HF8705"
"Rubrivirga marina"	"SAORIC-28"
"Sungkyunkwania multivorans"	"PDB-16"
"Actinokineospora bangkokensis"	"44EHW"
"Aliifodinibius roseus"	"YIM D15"
"Aliifodinibius sediminis"	"YIM J21"
"Flavobacterium limnosediminis"	"JC2902"
"Gilliamella apicola"	"wkB1"
"Mangrovimonas yunxiaonensis"	"LYYY01"
"Comamonas jiangduensis"	"YW1"
"Acidovorax wautersii"	"NF 1078"
"Ornithinimicrobium tianjinense"	"B2"
"Fretibacter rubidus"	"JC2236"
"Dehalogenimonas alkenigignens"	"IP3-3"
"Hirschia litorea"	"M-M23"
"Halopelagius fulvigenes"	"YIM 94188"
"Streptomyces wuyuanensis"	"FX61"
"Gluconacetobacter medellinensis"	"LMG 1693"
"Halolamina salifodinae"	"WSY15-H1"
"Halopiger salifodinae"	"KCY07-B2"
"Sphingobacterium caeni"	"DC-8"
"Flavobacterium hauense"	"BX12"
"Chryseobacterium  bernardetii"	"NCTC 13530"
"Chryseobacterium carnis"	"NCTC 13525"
"Chryseobacterium lactis"	"NCTC 11390"
"Chryseobacterium nakagawai"	"NCTC 13529"
"Bacillus thermocopriae"	"SgZ-7"
"Hyphomicrobium nitrativorans"	"NL23"
"Acinetobacter kookii"	"11-0202"
"Asticcacaulis solisilvae"	"CGM1-3EN"
"Bhargavaea ullalensis"	"ZMA 19"
"Brevibacterium jeotgali"	"SJ5-8"
"Nocardioides marinquilinus"	"CL-GY44"
"Halolamina salina"	"WSY15-H3"
"Wickerhamomyces mori"	"NYNU 1216"
"Vibrio hemicentroti"	"AlyHP32"
"Glaciimonas singularis"	"A2-57"
"Oceanobacillus chungangensis"	"CAU 1051"
"Kordia aquimaris"	"CC-AMZ-301"
"Sphingomicrobium marinum"	"CC-AMZ-30M"
"Sphingomicrobium astaxanthinifaciens"	"CC-AMO-30B"
"Fictibacillus phosphorivorans"	"Ca7"
"Reyranella soli"	"KIS14-15"
"Bacillus thermotolerans"	"SgZ-8"
"Azospirillum humicireducens"	"SgZ-5"
"Pseudomonas guangdongensis"	"SgZ-6"
"Bacillus composti"	"SgZ-9"
"Bacillus thermophilus"	"SgZ-10"
"Roseomonas aerophila"	"7515T-07"
"Actinoplanes siamensis"	"A-T 6646"
"Geodermatophilus taihuensis"	"3-wff-81"
"Sphingomicrobium flavum"	"CC-AMZ-30N"
"Salinibacillus xinjiangensis"	"J4T"
"Salinibacillus xinjiangensis"	"J4T"
"Salinibacillus xinjiangensis"	"J4T"
"Salinibacillus xinjiangensis"	"J4"
"Salinibacillus xinjiangensis"	"J4T"
"Salinibacillus xinjiangensis"	"J4T"
"Salinibacillus xinjiangensis"	"J4T"
"Salinibacillus xinjiangensis"	"J4T"
"Salinibacillus xinjiangensis"	"J4T"
"Salinibacillus xinjiangensis"	"J4"
"Salinibacillus xinjiangensis"	"J4T"
"Salinibacillus  xinjiangensis"	"J4T"
"Salinibacillus Xinjiangensis"	NA
"Salinibacillus xinjiangensis"	"J4T"
"Salinibacillus xinjiangenesis"	"J4T"
"Salinibacillus xinjiangensis"	"J4T "
"Salinibacillus xinjiangensis"	"J4T"
"Salinibacillus xinjiangensis"	"J4"
"Salinibacillus xinjiangensis"	"J4T"
"Salinibacillus xinjiangensis"	"J4T"
"Salinibacillus xinjiangensis"	"J4T"
"Salinibacillus xinjiangensis"	"J4"
"Salinibacillus xinjiangensis"	"J4T"
"Salinibacillus xinjiangensis"	"J4"
"Salinibacillus  xinjiangensis"	"J4T"
"Flaviramulus ichthyoenteri"	"Th78"
"Thermoanaerobaculum aquaticum"	"MP-01"
"Kordia antarctica"	"IMCC3317"
"Heliimonas saccharivorans"	"L2-4"
"Actinopolyspora lacussalsi"	"TRM 40139"
"Endozoicomonas euniceicola"	"EF212"
"Endozoicomonas gorgoniicola"	"PS125"
"Pustulibacterium marinum"	"E403"
"Lachancea lanzarotensis"	"L2C-15"
"Cyclobacterium caenipelagi"	"HD-17"
"Halopelagius longus"	"BC12-B1"
"Lactobacillus shenzhenensis"	"LY-73"
"Verrucosispora andamanensis"	"SP03-05"
"Hwangdonia seohaensis"	"HD-3"
"Flavobacterium yanchengense"	"hg"
"Melghirimyces profundicolus"	"SCSIO 11153"
"Georgenia sediminis"	"SCSIO 15020"
"Dyella kyungheensis"	"THG-B117"
"Litoreibacter halocynthiae"	"P-MA1-7"
"Luteimonas huabeiensis"	"HB2"
"Azospirillum fermentarium"	"CC-LY743"
"Kallotenue papyrolyticum"	"JKG1"
"Rhizobium calliandrae"	"CCGE524"
"Rhizobium jaguaris"	"CCGE525"
"Rhizobium mayense"	"CCGE526"
"Caulobacter daechungensis"	"H-E3-2"
"Streptococcus rubneri"	"LMG 27207"
"Desulfotomaculum peckii"	"LINDBHT1"
"Melghirimyces thermohalophilus"	"Nari11A"
"Frischella perrara"	"PEB0191"
"Enterococcus alcedinis"	"L34"
"Flavobacterium cutihirudinis"	"E89"
"Streptosporangium sandarakinum"	"GW-12028"
"Tenacibaculum xiamenense"	"WJ-1"
"Lysinibacillus manganicus"	"Mn1-7"
"Paraperlucidibaca wandonensis"	"WT-RY4"
"Fabibacter pacificus"	"DY53"
"Amorphus suaedae"	"YC6899"
"Mycobacterium sediminis"	"YIM M13028"
"Mycobacterium arabiense"	"YIM 121001"
"Ferrimonas gelatinilytica"	"CJ24"
"Halopenitus malekzadehii"	"CC65"
"Roseivivax pacificus"	"22DY03"
"Arenicella chitinivorans"	"KMM 6208"
"Nocardioides salsibiostraticola"	"PAMC 26527"
"Luteibaculum oceani"	"CC-AMWY-103B"
"Shimia biformata"	"CC-AMW-C"
"Pleomorphomonas diazotrophica"	"R5-392"
"Pseudoruegeria haliotis"	"WM67"
"Shimia haliotis"	"WM35"
"Moniliella byzovii"	"2041.7"
"Mucilaginibacter gynuensis"	"YC7003"
"Amnibacterium soli"	"PB243"
"Lysinibacillus contaminans"	"FSt3A"
"Falsochrobactrum ovis"	"B1315"
"Kaistia hirudinis"	"E94"
"Algibacter undariae"	"WS-MY9"
"Kribbella albertanoniae"	"BC640"
"Niabella hirudinis"	"E96"
"Niabella drilacis"	"E90"
"Loktanella sediminilitoris"	"D1-W3"
"Intestinimonas butyriciproducens"	"SRB-521-5-I"
"Kroppenstedtia guangzhouensis"	"GD02"
"Alcanivorax marinus"	"R8-12"
"Cohnella lupini"	NA
"Cohnella lupini"	"RLAHU4BT"
"Cohnella lupini"	" RLAHU4BT"
"Cohnella Lupini"	"RLAHU4BT"
"Cohnella lupini"	"RLAHU4BT"
"Cohnella Lupini"	"RLAHU4B"
"Cohnella lupini"	"RLAHU4B"
"Cohnella lupini"	"RLAHU4BT"
"Cohnella lupini"	"RLAHU4B"
"Paenibacillus endophyticus"	"PECAE04"
"Sugiyamaella xylanicola"	"UFMG-CA-32.1"
"Desulfocurvus thunnarius"	"Olac 40"
"Micromonospora schwarzwaldensis"	"HKI0641"
"Mycobacterium paragordonae"	"49061T"
"Mycobacterium paragordonae"	"49061T"
"Mycobacterium paragordonae"	"49061T"
"Mycobacterium paragordonae"	"49061T"
"Mycobacterium paragordonae"	"49061T"
"Mycobacterium  paragordonae"	"49061T"
"Mycobacterium paragordonae"	"49061T"
"Mycobacterium paragordonae"	"49061T"
"Mycobacterium paragordonae"	"49061T"
"Mycobacterium paragordonae"	"49061T"
"Mycobacterium paragordonae"	"49061"
"Mycobacterium paragordonae"	"49061T"
"Mycobacterium paragordonae"	"49061T"
"Mycobacterium gordonae Mycobacterium paragordonae"	"49061"
"Mycobacterium paragordonae"	"49061T"
"Mycobacterium paragordonae"	NA
"Mycobacterium paragordonae"	"49061T"
"Mycobacterium paragordonae"	"49061T"
"Mycobacterium paragordonae"	"49061T"
"Mycobacterium paragordonae"	"49061T"
"Mycobacterium paragordonae"	"49061T"
"Mycobacterium paragordonae"	"49061T"
"Mycobacterium paragordonae"	"49061"
"Mycobacterium paragordonae"	"49061T"
"Mycobacterium paragordonae"	"49061T"
"Mycobacterium paragordonae"	"(49061T"
"Mycobacterium paragordonae"	"49061T"
"Mycobacterium paragordonae"	"49061T"
"Mycobacterium  paragordonae"	"49061T"
"Williamsia sterculiae"	"CPCC 203464"
"Gracilimonas mengyeensis"	"YIM J14"
"Taibaiella  smilacinae"	"PTJT-5"
"Methanobrevibacter boviskoreani"	"JH1"
"Parapedobacter pyrenivorans"	"P-4"
"Marininema halotolerans"	"YIM M11385"
"Gracilimonas rosea"	"CL-KR2"
"Lacibacter daechungensis"	"H32-4"
"Streptomonospora sediminis"	"YIM M11335"
"Streptomonospora nanhaiensis"	"12A09"
"Starmerella neotropicalis"	"UFMG PST 09"
"Sympodiomycopsis yantaiensis"	"NYNU 121010"
"Sympodiomycopsis yantaiensis"	"NYNU 121010"
"Imperialibacter roseus"	"P4"
"Rothia endophytica"	"YIM 67072"
"Formosa undariae"	"WS-MY3"
"Kurtzmanomyces shapotouensis"	"CPCC 300020"
"Sphingobacterium changzhouense"	"N7"
"Nocardioides endophyticus"	"MWE 3-5"
"Nocardioides conyzicola"	"HWE 2-02"
"Pontibacter toksunensis"	"ZLD-7"
"Algibacter wandonensis"	"WS-MY22"
"Rehaibacterium terrae"	"YIM 77974"
"Kodamaea transpacifica"	"CLQCA-24i-070"
"Wickerhamomyces sylviae"	"U88A2"
"Lactobacillus Lactobacillus apis"	"R4B"
"Lactobacillus Lactobacillus apis"	"R4C"
"Thermoactinomyces Thermoactinomyces daqus"	"H-18"
"Magnetovibrio blakemorei"	"MV-1"
"Thermoanaerobacter pseudethanolicus"	"39ET"
"Brevundimonas halotolerans"	"MCS24"
"Yamadazyma terventina"	"DAPES 1924"
"Tortispora ganteri"	"SUB 86-469.5"
"Ogataea kolombanensis"	"ZIM 2322"
"Ogataea histrianica"	"ZIM 2463"
"Ogataea deakii"	"NCAIM Y.01896"
"Scheffersomyces parashehatae"	"ATCC MYA-4653"
"Scheffersomyces xylosifermentans"	"ATCC MYA-4859"
"Candida broadrunensis"	"ATCC MYA-4650"
"Candida manassasensis"	"ATCC MYA-4652"
"Burkholderia dolosa"	"LMG 18943T"
"Bradyrhizobium diazoefficiens"	"USDA110"
"Candida golubevii"	"BCC 8332"
"Spencermartinsiella ligniputridi"	"NCAIM Y.01992"
"Mycoplasma leachii"	"PG50T "
"Brucella inopinata"	"BO1"
"Acinetobacter bereziniae"	"LMG 1003"
"Acinetobacter guillouiae"	"LMG 988"
"Pichia insulana"	"TSU00-106.5"
"Candida laoshanensis"	"MLRW 6-2"
"Candida qingdaonensis"	"MLRW 7-1"
"Dioszegia antarctica"	"ANT-03-116"
"Dioszegia cryoxerica"	"ANT-03-071"
"Geotrichum ghanense"	"G6"
"Candida  awuaii"	"G15"
"Kazachstania taianensis"	"TA11TR-1"
"Candida xyloterini"	"ATCC 62898"
"Candida palmyrensis"	"ATCC 62899"
"Aspergillus arachidicola"	"CBS 117610"
"Aspergillus minisclerotigenes"	"CBS 117635"
"Methylomicrobium japanense"	"NI"
"AMO1 Methylomicrobium"	"kenyense"
"Brucella microti"	"CCM 4915"
"Aspergillus uvarum"	"IMI 388523"
"Sporidiobolus metaroseus"	"CBS 7683"
"Hylodesmus singaporensis"	"CAUP C-H8001"
"Prototheca cutis"	"JCM 15793"
"Rhodopirellula baltica"	"SH 1T "
"Candida aechmeae"	"BI153"
"Candida vrieseae"	"BI146"
"Candida olivae"	"FMCC Y-1"
"Cryptococcus spencermartinsiae"	"CRUB 1230"
"Rhodotorula arctica"	"Pro94 Y56"
"Trichosporon chiarelli"	"FCP 540806"
"Wickerhamomyces patagonicus"	"CRUB 1724"
"Candida halmiae"	"G3"
"Candida ficus"	"STN-8"
"Saccharomyces arboricolus"	"H-6"
"Ogataea chonburiensis"	"PT44"
"Ogataea nakhonphanomensis"	"S051"
"Kurtzmaniella cleridarum"	"UWOPS 99-101.1"
"Dipodascus tetraspoureus"	"SY-277"
"Candida phangngensis"	"PT1-17"
"Kazachstania hellenica"	"D9W17"
"Ogataea ganodermae"	"SHS 2.1"
"Ensifer numidicus"	"ORS 1407"
"Ensifer garamanticus"	"ORS 1400"
"Rhodopseudomonas pseudopalustris"	"DSM 123"
"Lysinibacillus macroides"	"LMG 18474"
"Actinobacillus Anseriformium"	"F66"
"Methylotenera Versatilis"	"301"
"Kazachstania bromeliacearum"	"IMUFRJ 51496"
"Pantoea rwandensis"	"LMG 26275"
"Pantoea wallisii"	"LMG 26277"
"Cryptococcus thermophilus"	"LTH 6662"
"Mucor nidicola"	"F53"
"Derxomyces Amylogenes"	"ZJJ-890"
"Derxomyces bambusicola"	"GT-475"
"Derxomyces corylopsis"	"ZJJ-394"
"Cryptococcus cyanovorans"	"CBS 11948"
"Microvirga lupini"	"Lut6"
"Citeromyces hawaiiensis"	"NRRL Y-11581"
"Candida Amazonensis"	"UFMG-HMD-26.3"
"Kerstersia similis"	"LMG 5890"
"Bensingtonia rectispora"	"XZ 4C5"
"Bensingtonia bomiensis"	"XZ 33D1"
"Candida  Adriatica"	"ZIM 2334"
"Candida molendinolei"	"DBVPG 5508"
"Kwoniella shandongensis"	"Y13-1"
"Candida borneonana"	"11-487"
"Candida kuoi"	"NRRL Y-27208"
"Wickerhamomyces xylosica"	"NT31"
"Candida phayaonensis"	"NT29"
"Metschnikowia proteae"	"EBDT1Y1"
"Aspergillus baeticus"	"CMF ISB 2153"
"Aspergillus thesauricus"	"CMF ISB 2155"
"Saccharomycopsis fodiens"	"UWOPS 95-697.4"
"Diddensiella caesifluorescens"	"NCAIM Y.01949"
"Moniliella carnis"	"KFP 246"
"Moniliella dehoogii"	"KFP 211"
"Naumovozyma baii"	"BW 22"
"Pichia bruneiensis"	" 11-485"
"Candida coquimbonensis"	"TSU 00-206.4B"
"Vibrio breoganii"	" RD 15.11T"
"Paenibacillus anaericanus"	"MH21T"
"Mesorhizobium ciceri"	"WSM1271"
"Algoriphagus machipongonensis"	"PR1"
"Verminephrobacter  eiseniae"	"EF01-2"
"Bacillus sporothermodurans"	"LMG 17668"
"Desulfovibrio gracilis"	"SRL6146T"
"Winogradskyella rapida"	"SCB36T"
"Psychromonas ingrahamii"	"37"
"Burkholderia  xenovorans"	"LB400T"
"Castellaniella  denitrificans"	"NKNTAU"
"Rhizobium leucaenae"	"CFN 299"
"Zimmermannella helvola"	" IAM 14726T"
"Pseudoclavibacter helvolus"	"DSM 20419T"
"Bacillus oleronius"	"LMG 17952"
"Pelotomaculum schinkii"	"HHT"
"Cellulomonas bogoriensis"	"69B4T"
"Sphingomonas haloaromaticamans"	"A175T"
"Legionella drancourtii"	"LLAP12T"
"Paenibacillus elgii"	"SD17T"
"Desulfosporosinus hippei"	"343"
"Desulfovibrio alaskensis"	"Al1T"
"Thiocapsa marina"	"5811T"
"Ornithinibacillus bavariensis"	"WSBC24001"
"Mycobacterium nebraskense"	"UNMC-MY1349T"
"Mycobacterium cosmeticum"	"LTA-388T"
